FID,cx,cy
monobrown,51.01288,17.00447
monored,51.07504,16.97907
monogreen,51.10782,16.96673
monoblue,51.10827,17.04707
monowhite,51.12551,17.00622
monoblack,51.07375,17.03125
orzov,51.10482,17.03299
golgari,51.08302,16.98834
rakdos,51.05541,17.00413
dymir,51.08259,17.0673
azorius,51.13219,17.04604
selesnia,51.13197,16.96673
boros,51.10417,16.98047
grul,51.08715,16.94305
izzet,51.08302,17.02061
simic,51.11624,17.00622
ceta,51.09145,16.95884
Jund,51.04915,16.94783
naya,51.11969,16.91387
necra,51.12379,16.97806
bant,51.1576,17.00587
raka,51.12487,17.03539
esper,51.11862,17.09857
ana,51.08799,17.05254
grixis,51.04742,17.06009
dega,51.06447,17.00448
yore,51.07808,17.08207
which maw,51.13951,17.056
Ink,51.13887,16.9567
glint,51.04613,17.00413
dune,51.08304,16.92897
all 5,51.09965,17.00621
