combination,aggro,midrange,control,combo,total
monobrown,0,0,1,0,1
monored,11,1,0,0,12
monogreen,3,0,0,0,3
monoblue,3,0,0,0,3
monowhite,7,3,0,0,10
monoblack,1,0,0,0,1
orzov,1,0,6,0,7
golgari,0,9,3,1,13
rakdos,13,6,0,1,20
dymir,0,11,3,0,14
azorius,0,3,7,4,14
selesnia,18,6,0,0,24
boros,12,3,0,0,15
grul,10,0,2,0,12
izzet,2,8,1,1,12
simic,0,2,0,0,2
ceta,5,10,0,2,17
Jund,1,16,3,2,22
naya,5,2,0,0,7
necra,9,23,6,0,38
bant,6,11,0,1,18
raka,3,3,12,0,18
esper,2,4,10,1,17
ana,1,6,1,0,8
grixis,2,11,10,0,23
dega,4,5,1,0,10
yore,1,5,3,2,11
which maw,1,13,1,0,15
Ink,0,0,0,1,1
glint,1,7,1,1,10
dune,1,2,0,0,3
all 5,5,4,1,4,14
